PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN
Dorian Finney-Smith,1610612745,HOU,20,15.8
Doug McDermott,1610612758,SAC,11,10.1
Drake Powell,1610612751,BKN,42,19.1
Draymond Green,1610612744,GSW,46,26.7
Drew Eubanks,1610612758,SAC,32,13.4
Drew Peterson,1610612766,CHA,6,10.7
Drew Timme,1610612747,LAL,18,8.3
Dru Smith,1610612748,MIA,55,17.2
Duncan Robinson,1610612765,DET,51,28.2
Duop Reath,1610612757,POR,32,8.1
Dwight Powell,1610612742,DAL,40,13.5
Dylan Cardwell,1610612758,SAC,29,21.2
Dylan Harper,1610612759,SAS,43,21.7
Dyson Daniels,1610612737,ATL,53,33.6
E.J. Liddell,1610612751,BKN,10,4.9
Egor Dëmin,1610612751,BKN,46,25.0
Elijah Harkless,1610612762,UTA,7,9.4
Emanuel Miller,1610612739,CLE,5,6.6
Enrique Freeman,1610612750,MIN,2,4.0
Eric Gordon,1610612755,PHI,6,12.3
Ethan Thompson,1610612754,IND,22,16.0
Evan Mobley,1610612739,CLE,42,33.4
Franz Wagner,1610612753,ORL,28,31.8
GG Jackson,1610612763,MEM,33,18.7
Gabe Vincent,1610612737,ATL,30,19.3
Garrett Temple,1610612761,TOR,13,2.7
Garrison Mathews,1610612754,IND,15,13.1
Gary Harris,1610612749,MIL,38,14.6
Gary Payton II,1610612744,GSW,50,13.1
Gary Trent Jr.,1610612749,MIL,47,23.6
Giannis Antetokounmpo,1610612749,MIL,30,29.2
Goga Bitadze,1610612753,ORL,42,16.0
Gradey Dick,1610612761,TOR,55,16.1
Grant Williams,1610612766,CHA,14,19.0
Grayson Allen,1610612756,PHX,35,30.3
Guerschon Yabusele,1610612741,CHI,45,10.5
Gui Santos,1610612744,GSW,44,14.7
Harrison Barnes,1610612759,SAS,54,27.8
Harrison Ingram,1610612759,SAS,4,3.2
Herbert Jones,1610612740,NOP,33,28.8
Hugo González,1610612738,BOS,49,15.2
Hunter Dickinson,1610612740,NOP,1,4.7
Hunter Sallis,1610612755,PHI,7,3.7
Hunter Tyson,1610612743,DEN,21,7.7
Immanuel Quickley,1610612761,TOR,52,32.4
Isaac Jones,1610612765,DET,4,4.6
Isaac Okoro,1610612741,CHI,46,26.0
Isaiah Collier,1610612762,UTA,48,25.5
Isaiah Crawford,1610612745,HOU,5,5.6
Isaiah Hartenstein,1610612760,OKC,30,25.7
Isaiah Jackson,1610612746,LAC,39,16.5
Isaiah Joe,1610612760,OKC,47,21.1
Isaiah Livers,1610612756,PHX,29,10.1
Isaiah Stevens,1610612758,SAC,3,14.3
Isaiah Stewart,1610612765,DET,48,23.2
Ivica Zubac,1610612754,IND,43,30.9
JD Davison,1610612745,HOU,24,7.4
Ja Morant,1610612763,MEM,20,28.4
Ja'Kobe Walter,1610612761,TOR,45,18.4
Jabari Smith Jr.,1610612745,HOU,52,35.1
Jabari Walker,1610612755,PHI,45,12.1
Jacob Toppin,1610612737,ATL,5,3.4
Jaden Hardy,1610612764,WAS,35,12.6
Jaden Ivey,1610612741,CHI,37,18.1
Jaden McDaniels,1610612750,MIN,54,32.1
Jae'Sean Tate,1610612745,HOU,32,8.3
Jahmai Mashack,1610612763,MEM,12,11.8
